,word,part
11,recent,JJ
40,over-all,JJ
86,possible,JJ
92,hard-fought,JJ
106,relative,JJ
109,such,JJ
122,widespread,JJ
156,outmoded,JJ
158,inadequate,JJ
161,ambiguous,JJ
189,grand,JJ
273,clerical,JJ
309,outgoing,JJ
325,effective,JJ
330,orderly,JJ
341,grand,JJ
353,federal,JJ
361,foster,JJ
370,major,JJ
376,general,JJ
393,fit,JJ
430,proportionate,JJ
442,populous,JJ
463,available,JJ
481,disproportionate,JJ
543,previous,JJ
544,grand,JJ
573,undue,JJ
582,unmeritorious,JJ
592,new,JJ
593,multi-million-dollar,JJ
603,new,JJ
619,political,JJ
637,periodic,JJ
653,reasonable,JJ
672,additional,JJ
686,medical,JJ
723,fair,JJ
725,equitable,JJ
792,mental,JJ
831,amicable,JJ
926,brief,JJ
933,political,JJ
948,present,JJ
990,strong,JJ
1025,enthusiastic,JJ
1109,unanimous,JJ
1175,alternative,JJ
1207,general,JJ
1241,public,JJ
1287,gubernatorial,JJ
1350,rural,JJ
1352,urban,JJ
1369,traditional,JJ
1416,ready,JJ
1440,friendly,JJ
1498,rural,JJ
1521,new,JJ
1532,old,JJ
1563,additional,JJ
1564,rural,JJ
1597,new,JJ
1598,rural,JJ
1679,technical,JJ
1707,similar,JJ
1749,constitutional,JJ
1760,future,JJ
1765,veteran,JJ
1777,federal,JJ
1808,federal,JJ
1811,public,JJ
1816,such,JJ
1847,congressional,JJ
1911,federal,JJ
1937,long,JJ
1939,hot,JJ
1946,new,JJ
1972,new,JJ
1980,veteran,JJ
2091,quiet,JJ
2101,anonymous,JJ
2158,anonymous,JJ
2172,anonymous,JJ
2182,local,JJ
2207,orderly,JJ
2218,good,JJ
2226,smooth,JJ
2258,certain,JJ
2262,adamant,JJ
2288,previous,JJ
2293,public,JJ
2344,conservative,JJ
2370,current,JJ
2371,fiscal,JJ
2419,personal,JJ
2454,such,JJ
2472,impossible,JJ
2475,such,JJ
2507,contractual,JJ
2628,unconstitutional,JJ
2685,deaf,JJ
2701,special,JJ
2705,deaf,JJ
2709,scholastic,JJ
2743,county-wide,JJ
2748,deaf,JJ
2758,deaf,JJ
2779,residential,JJ
2864,deaf,JJ
2915,constitutional,JJ
2926,pro,JJ
2931,con,JJ
2964,willing,JJ
2968,political,JJ
3000,local,JJ
3009,favorable,JJ
3016,hard,JJ
3052,meager,JJ
3102,special,JJ
3103,constitutional,JJ
3195,miscellaneous,JJ
3267,real,JJ
3274,own,JJ
3275,annual,JJ
3282,annual,JJ
3288,such,JJ
3294,Natural,JJ
3296,public,JJ
3305,eminent,JJ
3325,underground,JJ
3351,future,JJ
3363,costly,JJ
3364,special,JJ
3427,adverse,JJ
3503,public,JJ
3515,final,JJ
3516,legislative,JJ
3557,intelligent,JJ
3574,absent,JJ
3589,big,JJ
3615,big,JJ
3658,similar,JJ
3693,maximum,JJ
3701,local,JJ
3719,large,JJ
3733,rural,JJ
3750,local,JJ
3756,populous,JJ
3763,pending,JJ
3812,poor,JJ
3833,little,JJ
3862,educational,JJ
3877,public,JJ
3889,so-called,JJ
3899,junior,JJ
3901,senior,JJ
3902,high,JJ
3908,normal,JJ
3922,junior-senior,JJ
3944,4-year,JJ
3950,general,JJ
3984,public,JJ
4046,new,JJ
4066,present,JJ
4161,high,JJ
4167,athletic,JJ
4189,associate,JJ
4256,federal,JJ
4259,racial,JJ
4273,blue,JJ
4282,dependent,JJ
4292,long,JJ
4312,long,JJ
4327,racial,JJ
4336,serious,JJ
4355,monthly,JJ
4425,able,JJ
4508,possible,JJ
4604,separate,JJ
4613,all-woman,JJ
4630,prejudicial,JJ
4658,impossible,JJ
4662,fair,JJ
4717,true,JJ
4725,free-for-all,JJ
4775,American,JJ
4778,nationwide,JJ
4968,unfair,JJ
4971,illegal,JJ
5009,legal,JJ
5038,unable,JJ
5062,special,JJ
5077,grand,JJ
5106,grand,JJ
5148,wrongful,JJ
5162,grand,JJ
5174,serious,JJ
5267,complementary,JJ
5412,mammoth,JJ
5413,new,JJ
5414,medical,JJ
5418,social,JJ
5424,American,JJ
5436,medical,JJ
5448,social,JJ
5460,special,JJ
5474,large,JJ
5475,federal,JJ
5479,medical,JJ
5481,dental,JJ
5486,new,JJ
5487,medical,JJ
