,word,part
8,investigation,NN
12,primary,NN
13,election,NN
17,evidence,NN
23,place,NN
26,jury,NN
30,term-end,NN
41,charge,NN
44,election,NN
49,praise,NN
60,manner,NN
64,election,NN
70,term,NN
71,jury,NN
93,primary,NN
107,handful,NN
116,jury,NN
123,interest,NN
126,election,NN
129,number,NN
134,size,NN
137,city,NN
141,jury,NN
150,registration,NN
152,election,NN
180,end,NN
190,jury,NN
194,number,NN
225,interest,NN
236,jury,NN
250,efficiency,NN
254,cost,NN
256,administration,NN
265,jury,NN
277,result,NN
279,city,NN
288,city,NN
296,problem,NN
298,Implementation,NN
301,automobile,NN
302,title,NN
303,law,NN
310,jury,NN
326,date,NN
331,implementation,NN
334,law,NN
342,jury,NN
345,swipe,NN
351,handling,NN
357,child,NN
358,welfare,NN
377,assistance,NN
378,program,NN
382,jury,NN
400,welfare,NN
408,state,NN
411,exception,NN
421,money,NN
431,distribution,NN
438,program,NN
454,future,NN
460,portion,NN
472,Failure,NN
482,burden,NN
489,jury,NN
496,court,NN
501,fire,NN
507,appointment,NN
516,awarding,NN
520,compensation,NN
525,jury,NN
530,court,NN
553,interim,NN
555,committee,NN
565,fact,NN
568,effect,NN
587,jury,NN
594,airport,NN
597,jury,NN
604,management,NN
606,charge,NN
610,airport,NN
615,manner,NN
624,jury,NN
638,surveillance,NN
648,purpose,NN
664,jury,NN
684,doctor,NN
687,intern,NN
689,extern,NN
693,night,NN
695,weekend,NN
696,duty,NN
699,jail,NN
710,city,NN
715,legislation,NN
720,establishment,NN
727,pension,NN
728,plan,NN
730,city,NN
734,jury,NN
737,administration,NN
739,operation,NN
756,prison,NN
772,suit,NN
774,divorce,NN
777,wife,NN
790,petition,NN
793,cruelty,NN
796,couple,NN
807,son,NN
815,daughter,NN
827,mayor,NN
832,property,NN
833,settlement,NN
840,petition,NN
844,occupation,NN
847,attorney,NN
851,age,NN
859,age,NN
863,place,NN
865,birth,NN
872,petition,NN
876,couple,NN
882,man,NN
884,wife,NN
889,year,NN
900,Aj,NN
909,petition,NN
913,attorney,NN
918,mayor,NN
923,exception,NN
927,interlude,NN
934,career,NN
939,election,NN
941,city,NN
942,council,NN
949,term,NN
951,office,NN
968,candidate,NN
973,primary,NN
984,reelection,NN
991,encouragement,NN
995,candidate,NN
1000,race,NN
