,Unnamed: 0,word,sentiment,lexicon,score,part
0,1,abba,positive,nrc,,NN
1,2,ability,positive,nrc,,NN
2,3,abovementioned,positive,nrc,,VBN
3,4,absolute,positive,nrc,,NN
4,5,absolution,positive,nrc,,NN
5,6,absorbed,positive,nrc,,NNS
6,7,abundance,positive,nrc,,NN
7,8,abundant,positive,nrc,,NN
8,9,academic,positive,nrc,,JJ
9,10,academy,positive,nrc,,NN
10,11,acceptable,positive,nrc,,JJ
11,12,acceptance,positive,nrc,,NN
12,13,accessible,positive,nrc,,JJ
13,14,accolade,positive,nrc,,NN
14,15,accommodation,positive,nrc,,NN
15,16,accompaniment,positive,nrc,,NN
16,17,accomplish,positive,nrc,,NN
17,18,accomplished,positive,nrc,,VBN
18,19,accomplishment,positive,nrc,,NN
19,20,accord,positive,nrc,,NN
20,21,accountability,positive,nrc,,NN
21,22,accountable,positive,nrc,,JJ
22,23,accredited,positive,nrc,,VBN
23,24,accueil,positive,nrc,,NN
24,25,accurate,positive,nrc,,NN
25,26,ace,positive,nrc,,NN
26,27,achieve,positive,nrc,,NN
27,28,achievement,positive,nrc,,NN
28,29,acknowledgment,positive,nrc,,NN
29,30,acquire,positive,nrc,,VB
30,31,acquiring,positive,nrc,,VBG
31,32,acrobat,positive,nrc,,NN
32,33,action,positive,nrc,,NN
33,34,actual,positive,nrc,,JJ
34,35,acuity,positive,nrc,,NN
35,36,acumen,positive,nrc,,NNS
36,37,adapt,positive,nrc,,NN
37,38,adaptable,positive,nrc,,JJ
38,39,addresses,positive,nrc,,NNS
39,40,adept,positive,nrc,,NN
40,41,adequacy,positive,nrc,,NN
41,42,adjunct,positive,nrc,,NN
42,43,admirable,positive,nrc,,JJ
43,44,admiral,positive,nrc,,JJ
44,45,admiration,positive,nrc,,NN
45,46,admire,positive,nrc,,NN
46,47,admirer,positive,nrc,,NN
47,48,admissible,positive,nrc,,JJ
48,49,adorable,positive,nrc,,JJ
49,50,adoration,positive,nrc,,NN
50,51,adore,positive,nrc,,NN
51,52,advance,positive,nrc,,NN
52,53,advanced,positive,nrc,,JJ
53,54,advancement,positive,nrc,,NN
54,55,advantage,positive,nrc,,NN
55,56,advantageous,positive,nrc,,JJ
56,57,advent,positive,nrc,,NN
57,58,adventure,positive,nrc,,NN
58,59,adventurous,positive,nrc,,JJ
59,60,advisable,positive,nrc,,JJ
60,61,advise,positive,nrc,,NN
61,62,adviser,positive,nrc,,NN
62,63,advocacy,positive,nrc,,NN
63,64,aesthetic,positive,nrc,,JJ
64,65,aesthetics,positive,nrc,,NNS
65,66,affable,positive,nrc,,JJ
66,67,affection,positive,nrc,,NN
67,68,affiliated,positive,nrc,,VBN
68,69,affirm,positive,nrc,,NN
69,70,affirmation,positive,nrc,,NN
70,71,affirmative,positive,nrc,,JJ
71,72,affirmatively,positive,nrc,,RB
72,73,affluence,positive,nrc,,NN
73,74,affluent,positive,nrc,,NN
74,75,afford,positive,nrc,,NN
75,76,aga,positive,nrc,,NN
76,77,agile,positive,nrc,,NN
77,78,agility,positive,nrc,,NN
78,79,agree,positive,nrc,,NN
79,80,agreeable,positive,nrc,,JJ
80,81,agreed,positive,nrc,,VBD
81,82,agreeing,positive,nrc,,VBG
82,83,agreement,positive,nrc,,NN
83,84,agriculture,positive,nrc,,NN
84,85,ahead,positive,nrc,,RB
85,86,aid,positive,nrc,,NN
86,87,aiding,positive,nrc,,VBG
87,88,alabaster,positive,nrc,,NN
88,89,alertness,positive,nrc,,NN
89,90,alimentation,positive,nrc,,NN
90,91,alive,positive,nrc,,JJ
91,92,allay,positive,nrc,,NN
92,93,allegiance,positive,nrc,,NN
93,94,allegro,positive,nrc,,NN
94,95,alleviate,positive,nrc,,NN
95,96,alleviation,positive,nrc,,NN
96,97,allied,positive,nrc,,JJ
97,98,allowable,positive,nrc,,JJ
98,99,allure,positive,nrc,,NN
99,100,alluring,positive,nrc,,VBG
100,101,ally,positive,nrc,,RB
101,102,almighty,positive,nrc,,NN
102,103,aloha,positive,nrc,,NN
103,104,amazingly,positive,nrc,,RB
104,105,ambassador,positive,nrc,,NN
105,106,ambition,positive,nrc,,NN
106,107,ameliorate,positive,nrc,,NN
107,108,amen,positive,nrc,,NNS
108,109,amenable,positive,nrc,,JJ
109,110,amend,positive,nrc,,NN
110,111,amends,positive,nrc,,NNS
111,112,amenity,positive,nrc,,NN
112,113,amiable,positive,nrc,,JJ
113,114,amicable,positive,nrc,,JJ
114,115,amnesty,positive,nrc,,NN
115,116,amour,positive,nrc,,NN
116,117,amuse,positive,nrc,,NN
117,118,amused,positive,nrc,,VBN
118,119,amusement,positive,nrc,,NN
119,120,amusing,positive,nrc,,VBG
120,121,analyst,positive,nrc,,NN
121,122,anchor,positive,nrc,,NN
122,123,anchorage,positive,nrc,,NN
123,124,angel,positive,nrc,,NN
124,125,angelic,positive,nrc,,NN
125,126,animate,positive,nrc,,NN
126,127,animated,positive,nrc,,VBN
127,128,antibiotics,positive,nrc,,NNS
128,129,antidote,positive,nrc,,NN
129,130,antifungal,positive,nrc,,NN
130,131,antique,positive,nrc,,NN
131,132,antiseptic,positive,nrc,,JJ
132,133,aplomb,positive,nrc,,NN
133,134,apologetic,positive,nrc,,JJ
134,135,apologize,positive,nrc,,VB
135,136,apology,positive,nrc,,NN
136,137,apostle,positive,nrc,,NN
137,138,applause,positive,nrc,,NN
138,139,appreciation,positive,nrc,,NN
139,140,approbation,positive,nrc,,NN
140,141,approval,positive,nrc,,NN
141,142,approve,positive,nrc,,VB
142,143,approving,positive,nrc,,VBG
143,144,apt,positive,nrc,,NN
144,145,aptitude,positive,nrc,,NN
145,146,archaeology,positive,nrc,,NN
146,147,ardent,positive,nrc,,NN
147,148,ardor,positive,nrc,,NN
148,149,aristocracy,positive,nrc,,NN
149,150,aristocratic,positive,nrc,,JJ
150,151,armed,positive,nrc,,VBN
151,152,armor,positive,nrc,,NN
152,153,aroma,positive,nrc,,NN
153,154,arouse,positive,nrc,,NN
154,155,array,positive,nrc,,NN
155,156,art,positive,nrc,,NN
156,157,articulate,positive,nrc,,NN
157,158,articulation,positive,nrc,,NN
158,159,artisan,positive,nrc,,NN
159,160,artiste,positive,nrc,,NN
160,161,artistic,positive,nrc,,JJ
161,162,ascendancy,positive,nrc,,NN
162,163,ascent,positive,nrc,,NN
163,164,aspiration,positive,nrc,,NN
164,165,aspire,positive,nrc,,NN
165,166,aspiring,positive,nrc,,VBG
166,167,assembly,positive,nrc,,RB
167,168,assent,positive,nrc,,NN
168,169,asserting,positive,nrc,,VBG
169,170,assets,positive,nrc,,NNS
170,171,assist,positive,nrc,,NN
171,172,assistance,positive,nrc,,NN
172,173,associate,positive,nrc,,NN
173,174,assuage,positive,nrc,,NN
174,175,assurance,positive,nrc,,NN
175,176,assured,positive,nrc,,VBN
176,177,astonishingly,positive,nrc,,RB
177,178,astonishment,positive,nrc,,NN
178,179,astrologer,positive,nrc,,NN
179,180,astronaut,positive,nrc,,NN
180,181,astronomer,positive,nrc,,NN
181,182,astute,positive,nrc,,NN
182,183,athlete,positive,nrc,,NN
183,184,athletic,positive,nrc,,JJ
184,185,atom,positive,nrc,,NN
185,186,atone,positive,nrc,,NN
186,187,atonement,positive,nrc,,NN
187,188,attachment,positive,nrc,,NN
188,189,attainable,positive,nrc,,JJ
189,190,attainment,positive,nrc,,NN
190,191,attendant,positive,nrc,,NN
191,192,attention,positive,nrc,,NN
192,193,attentive,positive,nrc,,JJ
193,194,attest,positive,nrc,,NN
194,195,attorney,positive,nrc,,NN
195,196,attraction,positive,nrc,,NN
196,197,attractiveness,positive,nrc,,NN
197,198,augment,positive,nrc,,NN
198,199,august,positive,nrc,,NN
199,200,aunt,positive,nrc,,NN
200,201,aura,positive,nrc,,NN
201,202,auspicious,positive,nrc,,JJ
202,203,authentic,positive,nrc,,JJ
203,204,authenticity,positive,nrc,,NN
204,205,author,positive,nrc,,NN
205,206,authoritative,positive,nrc,,JJ
206,207,authority,positive,nrc,,NN
207,208,authorization,positive,nrc,,NN
208,209,authorized,positive,nrc,,VBN
209,210,avatar,positive,nrc,,NN
210,211,award,positive,nrc,,NN
211,212,ay,positive,nrc,,NN
212,213,aye,positive,nrc,,NN
213,214,baby,positive,nrc,,NN
214,215,baccalaureate,positive,nrc,,NN
215,216,backbone,positive,nrc,,NN
216,217,balance,positive,nrc,,NN
217,218,balanced,positive,nrc,,VBN
218,219,ballad,positive,nrc,,NN
219,220,ballet,positive,nrc,,NN
220,221,ballot,positive,nrc,,NN
221,222,balm,positive,nrc,,NN
222,223,balsam,positive,nrc,,NN
223,224,banquet,positive,nrc,,NN
224,225,baptism,positive,nrc,,NN
225,226,baptismal,positive,nrc,,NN
226,227,bard,positive,nrc,,NN
227,228,bargain,positive,nrc,,NN
228,229,basketball,positive,nrc,,NN
229,230,bastion,positive,nrc,,NN
230,231,bath,positive,nrc,,NN
231,232,beam,positive,nrc,,NN
232,233,beaming,positive,nrc,,VBG
233,234,beautification,positive,nrc,,NN
234,235,beautiful,positive,nrc,,NN
235,236,beautify,positive,nrc,,NN
236,237,beauty,positive,nrc,,NN
237,238,bedrock,positive,nrc,,NN
238,239,beer,positive,nrc,,NN
239,240,befitting,positive,nrc,,VBG
240,241,befriend,positive,nrc,,NN
241,242,believing,positive,nrc,,VBG
242,243,benefactor,positive,nrc,,NN
243,244,beneficial,positive,nrc,,JJ
244,245,benefit,positive,nrc,,NN
245,246,benevolence,positive,nrc,,NN
246,247,benign,positive,nrc,,NN
247,248,berth,positive,nrc,,NN
248,249,betrothed,positive,nrc,,VBN
249,250,betterment,positive,nrc,,NN
250,251,beverage,positive,nrc,,NN
251,252,biblical,positive,nrc,,JJ
252,253,bilingual,positive,nrc,,JJ
253,254,birth,positive,nrc,,NN
254,255,birthday,positive,nrc,,NN
255,256,blameless,positive,nrc,,NN
256,257,bless,positive,nrc,,NN
257,258,blessed,positive,nrc,,VBN
258,259,blessing,positive,nrc,,NN
259,260,blessings,positive,nrc,,NNS
260,261,bliss,positive,nrc,,NN
261,262,blissful,positive,nrc,,NN
262,263,bloodless,positive,nrc,,NN
263,264,bloom,positive,nrc,,NN
264,265,blossom,positive,nrc,,NN
265,266,boast,positive,nrc,,NN
266,267,bodyguard,positive,nrc,,NN
267,268,boisterous,positive,nrc,,JJ
268,269,bold,positive,nrc,,NN
269,270,boldness,positive,nrc,,NN
270,271,bolster,positive,nrc,,NN
271,272,bonanza,positive,nrc,,NN
272,273,bonne,positive,nrc,,NN
273,274,bonus,positive,nrc,,NN
274,275,bookish,positive,nrc,,NN
275,276,bookshop,positive,nrc,,NN
276,277,bookworm,positive,nrc,,NN
277,278,boon,positive,nrc,,NN
278,279,bountiful,positive,nrc,,NN
279,280,bounty,positive,nrc,,NN
280,281,bouquet,positive,nrc,,NN
281,282,brains,positive,nrc,,NNS
282,283,bravery,positive,nrc,,NN
283,284,breakfast,positive,nrc,,NN
284,285,bridal,positive,nrc,,NN
285,286,bride,positive,nrc,,NN
286,287,bridegroom,positive,nrc,,NN
287,288,bridesmaid,positive,nrc,,NN
288,289,brighten,positive,nrc,,NN
289,290,brightness,positive,nrc,,NN
290,291,brilliant,positive,nrc,,NN
291,292,brocade,positive,nrc,,NN
292,293,brother,positive,nrc,,NN
293,294,brotherhood,positive,nrc,,NN
294,295,brotherly,positive,nrc,,RB
295,296,buck,positive,nrc,,NN
296,297,buddy,positive,nrc,,NN
297,298,build,positive,nrc,,NN
298,299,building,positive,nrc,,NN
299,300,bulldog,positive,nrc,,NN
300,301,bulletproof,positive,nrc,,NN
301,302,buoy,positive,nrc,,NN
302,303,buss,positive,nrc,,NN
303,304,butler,positive,nrc,,NN
